iso_code,continent,location,date,new_tests,total_tests,total_vaccinations,new_vaccinations
IND,Asia,India,2020-01-30,,,,
IND,Asia,India,2020-01-31,,,,
IND,Asia,India,2020-02-01,,,,
IND,Asia,India,2020-02-02,,,,
IND,Asia,India,2020-02-03,,,,
IND,Asia,India,2020-02-04,,,,
IND,Asia,India,2020-02-05,,,,
IND,Asia,India,2020-02-06,,,,
IND,Asia,India,2020-02-07,,,,
IND,Asia,India,2020-02-08,,,,
IND,Asia,India,2020-02-09,,,,
IND,Asia,India,2020-02-10,,,,
IND,Asia,India,2020-02-11,,,,
IND,Asia,India,2020-02-12,,,,
IND,Asia,India,2020-02-13,,,,
IND,Asia,India,2020-02-14,,,,
IND,Asia,India,2020-02-15,,,,
IND,Asia,India,2020-02-16,,,,
IND,Asia,India,2020-02-17,,,,
IND,Asia,India,2020-02-18,,,,
IND,Asia,India,2020-02-19,,,,
IND,Asia,India,2020-02-20,,,,
IND,Asia,India,2020-02-21,,,,
IND,Asia,India,2020-02-22,,,,
IND,Asia,India,2020-02-23,,,,
IND,Asia,India,2020-02-24,,,,
IND,Asia,India,2020-02-25,,,,
IND,Asia,India,2020-02-26,,,,
IND,Asia,India,2020-02-27,,,,
IND,Asia,India,2020-02-28,,,,
IND,Asia,India,2020-02-29,,,,
IND,Asia,India,2020-03-01,,,,
IND,Asia,India,2020-03-02,,,,
IND,Asia,India,2020-03-03,,,,
IND,Asia,India,2020-03-04,,,,
IND,Asia,India,2020-03-05,,,,
IND,Asia,India,2020-03-06,,,,
IND,Asia,India,2020-03-07,,,,
IND,Asia,India,2020-03-08,,,,
IND,Asia,India,2020-03-09,,,,
IND,Asia,India,2020-03-10,,,,
IND,Asia,India,2020-03-11,,,,
IND,Asia,India,2020-03-12,,,,
IND,Asia,India,2020-03-13,,6500,,
IND,Asia,India,2020-03-14,,,,
IND,Asia,India,2020-03-15,,,,
IND,Asia,India,2020-03-16,,,,
IND,Asia,India,2020-03-17,,,,
IND,Asia,India,2020-03-18,,13125,,
IND,Asia,India,2020-03-19,191,13316,,
IND,Asia,India,2020-03-20,1060,14376,,
IND,Asia,India,2020-03-21,1325,15701,,
IND,Asia,India,2020-03-22,1298,16999,,
IND,Asia,India,2020-03-23,3708,20707,,
IND,Asia,India,2020-03-24,157,20864,,
IND,Asia,India,2020-03-25,4280,25144,,
IND,Asia,India,2020-03-26,,,,
IND,Asia,India,2020-03-27,,27688,,
IND,Asia,India,2020-03-28,,,,
IND,Asia,India,2020-03-29,,,,
IND,Asia,India,2020-03-30,,,,
IND,Asia,India,2020-03-31,,,,
IND,Asia,India,2020-04-01,,,,
IND,Asia,India,2020-04-02,,47951,,
IND,Asia,India,2020-04-03,21294,69245,,
IND,Asia,India,2020-04-04,10705,79950,,
IND,Asia,India,2020-04-05,9584,89534,,
IND,Asia,India,2020-04-06,11534,101068,,
IND,Asia,India,2020-04-07,12947,114015,,
IND,Asia,India,2020-04-08,13904,127919,,
IND,Asia,India,2020-04-09,16991,144910,,
IND,Asia,India,2020-04-10,16420,161330,,
IND,Asia,India,2020-04-11,18044,179374,,
IND,Asia,India,2020-04-12,16374,195748,,
IND,Asia,India,2020-04-13,21806,217554,,
IND,Asia,India,2020-04-14,27339,244893,,
IND,Asia,India,2020-04-15,29706,274599,,
IND,Asia,India,2020-04-16,28357,302956,,
IND,Asia,India,2020-04-17,32167,335123,,
IND,Asia,India,2020-04-18,37000,372123,,
IND,Asia,India,2020-04-19,29463,401586,,
IND,Asia,India,2020-04-20,,,,
IND,Asia,India,2020-04-21,,462621,,
IND,Asia,India,2020-04-22,,,,
IND,Asia,India,2020-04-23,,500542,,
IND,Asia,India,2020-04-24,41247,541789,,
IND,Asia,India,2020-04-25,38168,579957,,
IND,Asia,India,2020-04-26,45352,625309,,
IND,Asia,India,2020-04-27,40510,665819,,
IND,Asia,India,2020-04-28,50914,716733,,
IND,Asia,India,2020-04-29,54031,770764,,
IND,Asia,India,2020-04-30,59437,830201,,
IND,Asia,India,2020-05-01,72453,902654,,
IND,Asia,India,2020-05-02,73709,976363,,
IND,Asia,India,2020-05-03,70087,1046450,,
IND,Asia,India,2020-05-04,60783,1107233,,
IND,Asia,India,2020-05-05,84713,1191946,,
IND,Asia,India,2020-05-06,84835,1276781,,
IND,Asia,India,2020-05-07,80632,1357413,,
IND,Asia,India,2020-05-08,80375,1437788,,
IND,Asia,India,2020-05-09,85425,1523213,,
IND,Asia,India,2020-05-10,85824,1609037,,
IND,Asia,India,2020-05-11,64651,1673688,,
IND,Asia,India,2020-05-12,85891,1759579,,
IND,Asia,India,2020-05-13,94671,1854250,,
IND,Asia,India,2020-05-14,92791,1947041,,
IND,Asia,India,2020-05-15,92911,2039952,,
IND,Asia,India,2020-05-16,94325,2134277,,
IND,Asia,India,2020-05-17,93365,2227642,,
IND,Asia,India,2020-05-18,75150,2302792,,
IND,Asia,India,2020-05-19,101475,2404267,,
IND,Asia,India,2020-05-20,108121,2512388,,
IND,Asia,India,2020-05-21,103532,2615920,,
IND,Asia,India,2020-05-22,103514,2719434,,
IND,Asia,India,2020-05-23,115364,2834798,,
IND,Asia,India,2020-05-24,108623,2943421,,
IND,Asia,India,2020-05-25,90170,3033591,,
IND,Asia,India,2020-05-26,92528,3126119,,
IND,Asia,India,2020-05-27,116041,3242160,,
IND,Asia,India,2020-05-28,119976,3362136,,
IND,Asia,India,2020-05-29,121702,3483838,,
IND,Asia,India,2020-05-30,127761,3611599,,
IND,Asia,India,2020-05-31,125428,3737027,,
IND,Asia,India,2020-06-01,100180,3837207,,
IND,Asia,India,2020-06-02,128868,3966075,,
IND,Asia,India,2020-06-03,137158,4103233,,
IND,Asia,India,2020-06-04,139485,4242718,,
IND,Asia,India,2020-06-05,143661,4386379,,
IND,Asia,India,2020-06-06,137938,4524317,,
IND,Asia,India,2020-06-07,142069,4666386,,
IND,Asia,India,2020-06-08,108048,4774434,,
IND,Asia,India,2020-06-09,141682,4916116,,
IND,Asia,India,2020-06-10,145216,5061332,,
IND,Asia,India,2020-06-11,151808,5213140,,
IND,Asia,India,2020-06-12,150305,5363445,,
IND,Asia,India,2020-06-13,143737,5507182,,
