iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population
IND,Asia,India,2020-01-30,1,1,,,1380004385
IND,Asia,India,2020-01-31,1,0,,,1380004385
IND,Asia,India,2020-02-01,1,0,,,1380004385
IND,Asia,India,2020-02-02,2,1,,,1380004385
IND,Asia,India,2020-02-03,3,1,,,1380004385
IND,Asia,India,2020-02-04,3,0,,,1380004385
IND,Asia,India,2020-02-05,3,0,,,1380004385
IND,Asia,India,2020-02-06,3,0,,,1380004385
IND,Asia,India,2020-02-07,3,0,,,1380004385
IND,Asia,India,2020-02-08,3,0,,,1380004385
IND,Asia,India,2020-02-09,3,0,,,1380004385
IND,Asia,India,2020-02-10,3,0,,,1380004385
IND,Asia,India,2020-02-11,3,0,,,1380004385
IND,Asia,India,2020-02-12,3,0,,,1380004385
IND,Asia,India,2020-02-13,3,0,,,1380004385
IND,Asia,India,2020-02-14,3,0,,,1380004385
IND,Asia,India,2020-02-15,3,0,,,1380004385
IND,Asia,India,2020-02-16,3,0,,,1380004385
IND,Asia,India,2020-02-17,3,0,,,1380004385
IND,Asia,India,2020-02-18,3,0,,,1380004385
IND,Asia,India,2020-02-19,3,0,,,1380004385
IND,Asia,India,2020-02-20,3,0,,,1380004385
IND,Asia,India,2020-02-21,3,0,,,1380004385
IND,Asia,India,2020-02-22,3,0,,,1380004385
IND,Asia,India,2020-02-23,3,0,,,1380004385
IND,Asia,India,2020-02-24,3,0,,,1380004385
IND,Asia,India,2020-02-25,3,0,,,1380004385
IND,Asia,India,2020-02-26,3,0,,,1380004385
IND,Asia,India,2020-02-27,3,0,,,1380004385
IND,Asia,India,2020-02-28,3,0,,,1380004385
IND,Asia,India,2020-02-29,3,0,,,1380004385
IND,Asia,India,2020-03-01,3,0,,,1380004385
IND,Asia,India,2020-03-02,5,2,,,1380004385
IND,Asia,India,2020-03-03,5,0,,,1380004385
IND,Asia,India,2020-03-04,28,23,,,1380004385
IND,Asia,India,2020-03-05,30,2,,,1380004385
IND,Asia,India,2020-03-06,31,1,,,1380004385
IND,Asia,India,2020-03-07,34,3,,,1380004385
IND,Asia,India,2020-03-08,39,5,,,1380004385
IND,Asia,India,2020-03-09,43,4,,,1380004385
